,target_1,target_2,target_3,target_4
ALL,0.004458346636866752,0.00047975867390378883,0.0037665628991060025,0.0025443007662835247
fold=0,0.004394595303686213,0.0005411255411255411,0.0038288731470549654,0.0025990423717696443
fold=1,0.004450976451277929,0.00044802867383512545,0.003818711687267611,0.002449502562556527
fold=2,0.004661009857575606,0.0004853475255644257,0.0036986828672323476,0.0025355224180348447
fold=3,0.004183943647899285,0.0003996602887545586,0.003871709047309787,0.002585302492881051
fold=4,0.004602858092389498,0.0005234297108673978,0.003614157527417747,0.0025506812894649385
mon=2022-02,0.005557551085568327,0.0003292624521072797,0.002753831417624521,0.0023746807151979565
mon=2022-03,0.006964399744572159,0.00035919540229885057,0.006076388888888889,0.0031728927203065133
mon=2022-04,0.0064455619412515965,0.000768279054916986,0.007273706896551724,0.00351213282247765
mon=2022-05,0.004509897828863346,0.0003791507024265645,0.0043003671775223495,0.0022050606641123884
mon=2022-06,0.006305874840357599,0.0004689495530012771,0.0034023786717752233,0.0023547254150702427
mon=2022-07,0.004679517879948914,0.0005587484035759898,0.0028935185185185184,0.002025462962962963
mon=2022-08,0.004679517879948914,0.0004689495530012771,0.003951149425287357,0.0028236749680715196
mon=2022-09,0.0034323116219667944,0.000518837803320562,0.004210568326947637,0.0024345466155810984
mon=2022-10,0.0034422892720306513,0.0005088601532567049,0.0028935185185185184,0.0021551724137931034
mon=2022-11,0.0029833173690932313,0.0005886813537675607,0.0028536079182630908,0.002564256066411239
mon=2022-12,0.0029134738186462326,0.0005587484035759898,0.0024445242656449553,0.0019855523627075353
mon=2023-01,0.0015864463601532566,0.000249441251596424,0.0021451947637292465,0.0029234514687100895
